,full_train,train_val,AL_subset,random_subset,top_900,mixed_top_50,mean_sample_accuracy,number_good_subsets,pvalue_less,pvalue_greater,dataset
381,0.8735,0.8672222222222222,0.8732,0.8545023777777777,0.8683333333333333,0.7718888888888888,0.8599422222222222,1000,8.148437550584677e-240,1.0,381
192,0.8742,0.8846666666666667,0.854,0.8685965333333333,0.8815555555555555,0.7988888888888889,0.8721464444444444,1000,0.0,1.0,192
496,0.8743,0.8826666666666667,0.8674,0.8618097333333333,0.8796666666666667,0.807,0.8675667777777778,1000,0.0,1.0,496
410,0.875,0.8753333333333333,0.8468,0.8580582,0.8958888888888888,0.7945555555555556,0.8873731111111112,1000,1.0,6.4866e-320,410
437,0.8753,0.8813333333333333,0.8727,0.8627864333333333,0.8797777777777778,0.8267777777777777,0.8707706666666667,1000,0.0,1.0,437
451,0.8757,0.8765555555555555,0.882,0.8691392333333333,0.8857777777777778,0.8271111111111111,0.878186888888889,1000,1.0,1.2443175854066363e-25,451
87,0.8757,0.8768888888888889,0.8753,0.8635782666666666,0.888,0.7472222222222222,0.8737895555555556,1000,5.1366035140281146e-58,1.0,87
333,0.8758,0.877,0.8874,0.8596381555555556,0.892,0.8372222222222222,0.8838718888888889,1000,1.0,1.9923384274691768e-231,333
52,0.876,0.8737777777777778,0.8741,0.8595881777777779,0.871,0.8228888888888889,0.8644747777777777,1000,0.0,1.0,52
429,0.876,0.8863333333333333,0.8744,0.8712196333333333,0.8855555555555555,0.7403333333333333,0.8753001111111111,1000,0.0,1.0,429
434,0.876,0.8855555555555555,0.8734,0.8646743888888888,0.8873333333333333,0.8107777777777778,0.8775605555555556,1000,1.1956381391765553e-299,1.0,434
234,0.8761,0.8827777777777778,0.8742,0.8681133999999998,0.8857777777777778,0.8262222222222222,0.8749172222222221,1000,3.640355463374915e-252,1.0,234
1,0.8762,0.8722222222222222,0.8663,0.8629503222222221,0.905,0.8872222222222222,0.8961142222222223,1000,1.0,0.0,1
228,0.8765,0.8766666666666667,0.8788,0.8603007333333333,0.8775555555555555,0.7454444444444445,0.8668908888888889,1000,0.0,1.0,228
84,0.8767,0.8863333333333333,0.8826,0.8629495666666668,0.8907777777777778,0.8267777777777777,0.8799803333333334,1000,1.2372197413012496e-247,1.0,84
446,0.8774,0.887,0.8755,0.8643316333333332,0.8895555555555555,0.8125555555555556,0.8800060000000001,1000,8.692418710618813e-271,1.0,446
397,0.8776,0.8846666666666667,0.8808,0.8698195777777779,0.8886666666666667,0.8458888888888889,0.879391,1000,3.015466715379021e-189,1.0,397
218,0.8776,0.8647777777777778,0.8785,0.8538532555555554,0.8802222222222222,0.869,0.8687837777777778,1000,1.0,5.644862735207803e-112,218
13,0.8784,0.8681111111111111,0.8797,0.8595205666666667,0.879,0.8361111111111111,0.8688394444444445,1000,0.9999986623036268,1.3376963732107547e-06,13
58,0.8787,0.8775555555555555,0.8787,0.8611764,0.8836666666666667,0.7938888888888889,0.8737487777777777,1000,3.778845127687196e-138,1.0,58
375,0.8793,0.8841111111111111,0.8993,0.8683211111111112,0.8997777777777778,0.753,0.8872686666666666,1000,1.0,2.2296053918668984e-39,375
122,0.8794,0.8823333333333333,0.8758,0.8668714666666667,0.8794444444444445,0.7692222222222223,0.8695462222222222,1000,0.0,1.0,122
399,0.8796,0.881,0.8853,0.8564864222222223,0.8857777777777778,0.8362222222222222,0.8758335555555555,1000,1.2705699433653614e-148,1.0,399
177,0.8798,0.8883333333333333,0.8833,0.8720125222222223,0.8895555555555555,0.7986666666666666,0.8791854444444445,1000,2.8942931792525446e-308,1.0,177
253,0.8804,0.8817777777777778,0.8749,0.8669649777777777,0.8791111111111111,0.8234444444444444,0.8714743333333334,1000,0.0,1.0,253
191,0.8805,0.8906666666666667,0.8837,0.8679429111111111,0.8872222222222222,0.8337777777777777,0.8799916666666665,1000,0.0,1.0,191
29,0.8808,0.8857777777777778,0.885,0.8703753444444444,0.8858888888888888,0.7947777777777778,0.8781737777777778,1000,8.084164952226901e-306,1.0,29
88,0.8808,0.8871111111111111,0.8801,0.8706395222222222,0.8861111111111111,0.812,0.8767976666666666,1000,0.0,1.0,88
262,0.8812,0.8738888888888889,0.8797,0.8627965888888888,0.8733333333333333,0.8015555555555556,0.8669147777777778,1000,1.104384655489539e-308,1.0,262
452,0.882,0.8861111111111111,0.8729,0.8714746333333333,0.8856666666666667,0.7994444444444444,0.8779288888888889,1000,1.0891721522570225e-295,1.0,452
383,0.8821,0.8843333333333333,0.8803,0.8700206666666667,0.8847777777777778,0.7973333333333333,0.8773979999999999,1000,2.5619452035298484e-272,1.0,383
95,0.8824,0.8865555555555555,0.8827,0.8696576444444445,0.8916666666666667,0.8284444444444444,0.8812697777777778,1000,1.744595412177785e-184,1.0,95
298,0.8825,0.8837777777777778,0.905,0.8665716777777778,0.9032222222222223,0.7658888888888888,0.890380111111111,1000,1.0,2.064999623003815e-138,298
311,0.8828,0.8882222222222222,0.8843,0.8697485333333334,0.8853333333333333,0.809,0.8760508888888889,1000,0.0,1.0,311
310,0.8831,0.8965555555555556,0.8859,0.8774044777777777,0.8967777777777778,0.8484444444444444,0.887666111111111,1000,5.4e-323,1.0,310
442,0.8832,0.8866666666666667,0.9002,0.8689958666666665,0.9155555555555556,0.8512222222222222,0.9043311111111111,1000,1.0,0.0,442
433,0.8835,0.8844444444444445,0.8798,0.869245,0.8831111111111111,0.7672222222222222,0.8737794444444444,1000,0.0,1.0,433
171,0.8835,0.8853333333333333,0.8833,0.876004311111111,0.8866666666666667,0.8431111111111111,0.8798142222222223,1000,1.1326053281671537e-277,1.0,171
172,0.8838,0.8878888888888888,0.888,0.8740067555555555,0.8856666666666667,0.8075555555555556,0.8795248888888889,1000,0.0,1.0,172
42,0.8841,0.8905555555555555,0.9149,0.8726453,0.9135555555555556,0.8585555555555555,0.9002842222222223,1000,1.0,4.535425133422934e-245,42
431,0.8846,0.8974444444444445,0.8789,0.878933111111111,0.8996666666666666,0.8011111111111111,0.8867501111111112,1000,0.0,1.0,431
